Nth day,Average engagement time per active user,Engaged sessions per active user,Average engagement time per session
0,0,0,0
1,62.9537037,1.046296296,54.83064516
2,50.25242718,1.029126214,43.49579832
3,157.4835165,1.093406593,135.1981132
4,125.761194,1.149253731,90.60215054
5,73.01587302,1.063492063,58.97435897
6,152.4444444,1.305555556,109.76
7,147.2758621,1.034482759,127.4925373
8,105.2173913,1.173913043,73.33333333
9,330.6470588,1.235294118,255.5
10,36.45833333,1.291666667,26.51515152
11,12.66666667,1.066666667,10
12,175.6333333,1.2,131.725
13,56.39130435,0.913043478,56.39130435
14,84.31578947,1,80.1
15,22.9375,0.9375,20.38888889
16,105.0606061,1.181818182,82.54761905
17,189.03657,1.341740227,135.6615385
18,273.3535912,1.600368324,159.9471983
19,75.65686275,1.323529412,50.76973684
20,87.6744186,1.139534884,68.54545455
21,53.18556701,1.113402062,42.63636364
22,110.3333333,1.358974359,74.18965517
23,151.125,1,113.34375
24,58.72222222,1,50.33333333
25,61.69230769,1.230769231,42.21052632
26,86.9,1.4,57.93333333
27,11.11111111,0.222222222,8.695652174
